Movie_Title,Storyline_Raw,Storyline_Processed
Oh My Ghost: The Finale,A Team of detectives are tracking down a serial killer whose methods are unlike anything law enforcement has ever seen.,team detectives tracking serial killer whose methods unlike anything law enforcement ever seen
The Sky Above Zenica,"Helena suffers the loss of her parents. Between mourning and abandonment, she receives through dreams, messages that will make her delve into herself, and at the same time, follow the strange trail of someone who will change her existence.",helena suffers loss parents mourning abandonment receives dreams messages make delve time follow strange trail someone change existence
Yalla Parkour,Police investigate the death of a 100 year old man at a nursing home. Several women are concerned in the incident. A journalist also investigates. One of the investigators has a illicit relationship with one of the suspects.,police investigate death year old man nursing home several women concerned incident journalist also investigates one investigators illicit relationship one suspects
"Dao, Pho Va Piano","Follow Tough Dog, a world-famous rapper and his rap battle with Kalixte, a rising star with millions of followers. A week before the battle, Tough Dog wakes up in the body of a kitten and now needs to reverse the situation.",follow tough dog world famous rapper rap battle kalixte rising star millions followers week battle tough dog wakes body kitten needs reverse situation
Las Amazonas de Yaxunah,"Emma, 14, comes under the toxic influence of her new friend Odile, a manipulative teenager, who tries to convince her that her mother killed her father to live with her new boyfriend.",emma comes toxic influence new friend odile manipulative teenager tries convince mother killed father live new boyfriend
The City God Forgot,A 1908 patent by NJ inventor J.F. Simpson birthed Skee-Ball amid industrial-era amusement parks. Follow the game's journey from working-class entertainment to beloved pastime. The balls keep rolling.,patent nj inventor j f simpson birthed skee ball amid industrial era amusement parks follow game journey working class entertainment beloved pastime balls keep rolling
Premeditated,"A group plans a bachelor party, inviting strippers who demand a large sum. The party goes haywire with an unexpected attendee. Hilarious mishaps, violence, and twists ensue as the situation spirals out of control, derailing their plans.",group plans bachelor party inviting strippers demand large sum party goes haywire unexpected attendee hilarious mishaps violence twists ensue situation spirals control derailing plans
Fario,"The aftermath of WW2. In a rural village in the South of Italy, a single mother befriends the local homosexual wedding planner. Through him, she is introduced to the hidden community of gays and starts understanding her rights as a woman.",aftermath ww rural village south italy single mother befriends local homosexual wedding planner introduced hidden community gays starts understanding rights woman
Holy Punch,"Fergus, a retired sea captain, is placed under house arrest after robbing his local newsagent on a mobility scooter. While confined to his home, he strikes up an unlikely friendship with his Greek caregiver.",fergus retired sea captain placed house arrest robbing local newsagent mobility scooter confined home strikes unlikely friendship greek caregiver
Hyper: The Stevie Hyper D Story,"Titi and Dirwan run a shelter home for the homeless, but it's a front for a sinister illegal business. They lure victims with the idyllic setting and unreliable communication. The dark truth lies behind charming facade and warm hospitality",titi dirwan run shelter home homeless front sinister illegal business lure victims idyllic setting unreliable communication dark truth lies behind charming facade warm hospitality
